"ID_HBW";"sci_name";"com_name";"genus";"body_size";"body_mass";"clutch_size";"source"
1;"Campylorhynchus jocosus";"boucard's wren";"Campylorhynchus";17;27.6;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
2;"Campylorhynchus gularis";"spotted wren";"Campylorhynchus";17;30.1;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
3;"Campylorhynchus yucatanicus";"yucatan wren";"Campylorhynchus";18;35.5;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Vargas-Soriano et al., 2010) "
4;"Campylorhynchus brunneicapillus";"cactus wren";"Campylorhynchus";18.5;38.9;3.74;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
5;"Campylorhynchus chiapensis";"giant wren";"Campylorhynchus";21;50.9;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
6;"Campylorhynchus griseus";"bicolored wren";"Campylorhynchus";21.5;42.4;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
7;"Campylorhynchus rufinucha";"rufous-naped wren";"Campylorhynchus";17;31;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
8;"Campylorhynchus turdinus";"thrush-like wren";"Campylorhynchus";20.5;39;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005), clutch size = (Kroodsma &amp; Brewer, 2005) "
9;"Campylorhynchus albobrunneus";"white-headed wren";"Campylorhynchus";18.5;32.9;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
10;"Campylorhynchus nuchalis";"stripe-backed wren";"Campylorhynchus";17.5;23.2;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
11;"Campylorhynchus fasciatus";"fasciated wren";"Campylorhynchus";19;30;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
12;"Campylorhynchus zonatus";"band-backed wren";"Campylorhynchus";18.5;34.6;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
13;"Campylorhynchus megalopterus";"grey-barred wren";"Campylorhynchus";18;33.1;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
14;"Odontorchilus cinereus";"tooth-billed wren";"Odontorchilus";12;11;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
15;"Odontorchilus branickii";"grey-mantled wren";"Odontorchilus";12;9.6;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
16;"Salpinctes obsoletus";"rock wren";"Salpinctes";15;16.5;6;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
17;"Catherpes mexicanus";"canyon wren";"Catherpes";14;11.5;6;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
18;"Hylorchilus sumichrasti";"slender-billed wren";"Hylorchilus";16;28.4;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
19;"Hylorchilus navai";"nava's wren";"Hylorchilus";16;29.3;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
20;"Cinnycerthia unirufa";"rufous wren";"Cinnycerthia";16.5;29.4;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
21;"Cinnycerthia olivascens";"sharpe's wren";"Cinnycerthia";16;24.45;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Freeman &amp; Greeney, 2008) "
22;"Cinnycerthia peruana";"peruvian wren";"Cinnycerthia";15.5;19.5;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
23;"Cinnycerthia fulva";"fulvous wren";"Cinnycerthia";14.5;16.6;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
24;"Cistothorus platensis";"sedge wren";"Cistothorus";10;9.12;7;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
25;"Cistothorus meridae";"paramo wren";"Cistothorus";10;9.46;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
26;"Cistothorus apolinari";"apolinar's wren";"Cistothorus";12;17.7;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
27;"Cistothorus palustris";"marsh wren";"Cistothorus";12;10.7;5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
28;"Thryomanes bewickii";"bewick's wren";"Thryomanes";12.25;9.9;5.8;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
29;"Ferminia cerverai";"zapata wren";"Ferminia";15.75;26.92;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
30;"Thryothorus ludovicianus";"carolina wren";"Thryothorus";13;19;4.5;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
31;"Thryothorus albinucha";"white-browed wren";"Thryothorus";12.5;12.4;NA;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
32;"Thryothorus atrogularis";"black-throated wren";"Thryothorus";14.93;24.25;NA;"range = (Ridgely &amp; Young, 2007), body size = (Hron et al., 2010), body mass = (Dunning, 2008) "
33;"Thryothorus spadix";"sooty-headed wren";"Thryothorus";14.5;22.8;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010), clutch size = (Kroodsma &amp; Brewer, 2005) "
34;"Thryothorus fasciatoventris";"black-bellied wren";"Thryothorus";15;24;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Auer et al., 2007) "
35;"Thryothorus euophrys";"plain-tailed wren";"Thryothorus";16;33.75;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005) "
36;"Thryothorus eisenmanni";"inca wren";"Thryothorus";16;23.15;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
37;"Thryothorus genibarbis";"moustached wren";"Thryothorus";15.5;19.2;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Londono, 2009) "
38;"Thryothorus mystacalis";"whiskered wren";"Thryothorus";16;29;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
39;"Thryothorus coraya";"coraya wren";"Thryothorus";14.5;23.8;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
40;"Thryothorus felix";"happy wren";"Thryothorus";13;12.8;5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
41;"Thryothorus maculipectus";"spot-breasted wren";"Thryothorus";13;15.05;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
42;"Thryothorus rutilus";"rufous-breasted wren";"Thryothorus";14;16.5;2.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
43;"Thryothorus sclateri";"speckle-breasted wren";"Thryothorus";13.75;20;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
44;"Thryothorus nigricapillus";"bay wren";"Thryothorus";14.5;23.9;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
45;"Thryothorus semibadius";"riverside wren";"Thryothorus";13.5;17;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
46;"Thryothorus thoracicus";"stripe-breasted wren";"Thryothorus";12;17.6;2.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
47;"Thryothorus leucopogon";"stripe-throated wren";"Thryothorus";12;11;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
48;"Thryothorus pleurostictus";"banded wren";"Thryothorus";14.5;17.7;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
49;"Thryothorus rufalbus";"rufous-and-white wren";"Thryothorus";15.5;26.5;2.7;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005), clutch size = (Kroodsma &amp; Brewer, 2005) "
50;"Thryothorus nicefori";"niceforo's wren";"Thryothorus";14.5;22.8;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
51;"Thryothorus sinaloa";"sinaloa wren";"Thryothorus";13;15.1;5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
52;"Thryothorus modestus";"plain wren";"Thryothorus";13.25;17.7;2;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
53;"Thryothorus zeledoni";"canebrake wren";"Thryothorus";14;23;2.5;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
54;"Thryothorus leucotis";"buff-breasted wren";"Thryothorus";14.25;19.5;2.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
55;"Thryothorus superciliaris";"superciliated wren";"Thryothorus";14.5;22.8;2.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
56;"Thryothorus guarayanus";"fawn-breasted wren";"Thryothorus";13.5;13.5;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
57;"Thryothorus longirostris";"long-billed wren";"Thryothorus";19;21.3;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
58;"Thryothorus griseus";"grey wren";"Thryothorus";11.5;19.1;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
59;"Troglodytes troglodytes";"northern wren";"Troglodytes";9.5;9.3;6.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
60;"Troglodytes aedon";"northern house wren";"Troglodytes";12;11;6;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
61;"Troglodytes brunneicollis";"brown-throated wren";"Troglodytes";12;10.75;NA;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005) "
62;"Troglodytes musculus";"southern house wren";"Troglodytes";12;12;4.22;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005), clutch size = (Kroodsma &amp; Brewer, 2005) "
63;"Troglodytes tanneri";"clarion island wren";"Troglodytes";13;15.07;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
64;"Troglodytes beani";"cozumel wren";"Troglodytes";12.25;11.23;NA;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
65;"Troglodytes cobbi";"cobb's wren";"Troglodytes";13.5;19.1;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
66;"Troglodytes sissonii";"socorro wren";"Troglodytes";11.5;7.8;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
67;"Troglodytes solstitialis";"mountain wren";"Troglodytes";11;11.4;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
68;"Troglodytes monticola";"santa marta wren";"Troglodytes";11.5;19.1;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
69;"Troglodytes ochraceus";"ochraceous wren";"Troglodytes";9.75;9.4;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
70;"Troglodytes rufociliatus";"rufous-browed wren";"Troglodytes";10.75;10;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
71;"Troglodytes rufulus";"tepui wren";"Troglodytes";11.75;16.1;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
72;"Thryorchilus browni";"timberline wren";"Thryorchilus";10;14;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005), clutch size = (Kroodsma &amp; Brewer, 2005) "
73;"Uropsila leucogastra";"white-bellied wren";"Uropsila";9.75;9.05;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
74;"Henicorhina leucophrys";"grey-breasted wood-wren";"Henicorhina";10.75;16.6;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
75;"Henicorhina negreti";"munchique wood-wren";"Henicorhina";11.25;15.8;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
76;"Henicorhina leucosticta";"white-breasted wood-wren";"Henicorhina";10.75;14.2;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
77;"Henicorhina leucoptera";"bar-winged wood-wren";"Henicorhina";11;15.5;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005) "
78;"Microcerculus marginatus";"southern nightingale-wren";"Microcerculus";11;18.27;2.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
79;"Microcerculus philomela";"northern nightingale-wren";"Microcerculus";10.75;17.8;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
80;"Microcerculus ustulatus";"flutist wren";"Microcerculus";11.5;21;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
81;"Microcerculus bambla";"wing-banded wren";"Microcerculus";11.5;19.1;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
82;"Cyphorhinus thoracicus";"chestnut-breasted wren";"Cyphorhinus";15;31.35;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
83;"Cyphorhinus phaeocephalus";"song wren";"Cyphorhinus";14;24.6;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005), clutch size = (Kroodsma &amp; Brewer, 2005) "
84;"Cyphorhinus aradus";"musician wren";"Cyphorhinus";12.5;20.9;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
